id,advertiser_name
0,travel_advisor_foryou
1,travel_go_now!
2,vacation_booking.com
3,relax_advisor_worldwide
4,beach_search.de
5,beach_finder_now!
6,beach_go_worldwide
7,travel_friend.de
8,vacation_go_foryou
9,travel_friend_foryou
10,summer_expert_foryou
11,relax_expert.de
12,travel_booking_worldwide
13,summer_booking_worldwide
14,summer_friend_worldwide
15,beach_expert_foryou
16,vacation_booking_now!
17,beach_go_foryou
18,vacation_go.com
19,beach_booking.de
20,beach_go_now!
21,vacation_finder.com
22,sunshine_finder_foryou
23,summer_finder.com
24,relax_expert.com
25,vacation_advisor_worldwide
26,sunshine_expert.de
27,travel_advisor.com
28,relax_expert_now!
29,relax_booking.de
30,summer_friend.de
31,relax_expert_worldwide
32,beach_expert.de
33,travel_go_worldwide
34,summer_advisor_worldwide
35,sunshine_booking.de
36,travel_search.de
37,vacation_expert.de
38,relax_search_worldwide
39,vacation_finder_foryou
40,summer_booking.com
41,travel_finder_worldwide
42,travel_expert_foryou
43,relax_friend_worldwide
44,travel_booking_foryou
45,beach_go.com
46,travel_finder.de
47,relax_advisor_now!
48,travel_expert_now!
49,travel_booking_now!
50,travel_finder.com
51,relax_finder.de
52,summer_expert_worldwide
53,travel_finder_now!
54,travel_advisor_now!
55,relax_friend.com
56,sunshine_go_now!
57,relax_friend_foryou
58,vacation_go_now!
59,beach_advisor_now!
60,sunshine_finder.de
61,sunshine_expert.com
62,vacation_search_foryou
63,summer_expert.de
64,beach_friend.com
65,relax_go_foryou
66,summer_expert_now!
67,beach_go.de
68,summer_finder_foryou
69,travel_expert.de
70,beach_booking_foryou
71,summer_go.de
72,summer_booking_foryou
73,travel_go.com
74,sunshine_search.de
75,beach_expert_worldwide
76,sunshine_search_worldwide
77,vacation_expert_foryou
78,beach_expert_now!
79,sunshine_friend_worldwide
80,vacation_friend_worldwide
81,relax_friend_now!
82,relax_search_now!
83,vacation_search.com
84,relax_finder_worldwide
85,beach_expert.com
86,travel_finder_foryou
87,relax_search.com
88,summer_booking.de
89,sunshine_advisor_now!
90,vacation_go.de
91,beach_friend_now!
92,summer_advisor_foryou
93,relax_expert_foryou
94,relax_go.com
95,relax_advisor_foryou
96,beach_search.com
97,vacation_finder_worldwide
98,relax_booking.com
99,relax_go_worldwide
